country,population,area_sq_km,fert_rate,med_age,migrants,net_change,pop_per_sq_km,pop_urban_perc,world_perc,year_change_perc
China,1440297825,9388211,1.7,38,-348399,5540090,153,61.0,18.47,0.39
India,1382345085,2973190,2.2,28,-532687,13586631,464,35.0,17.7,0.99
United States,331341050,9147420,1.8,38,954806,1937734,36,83.0,4.25,0.59
Indonesia,274021604,1811570,2.3,30,-98955,2898047,151,56.0,3.51,1.07
Pakistan,221612785,770880,3.6,23,-233379,4327022,287,35.0,2.83,2.0
Brazil,212821986,8358140,1.7,33,21200,1509890,25,88.0,2.73,0.72
Nigeria,206984347,910770,5.4,18,-60000,5175990,226,52.0,2.64,2.58
Bangladesh,164972348,130170,2.1,28,-369501,1643222,1265,39.0,2.11,1.01
Russia,145945524,16376870,1.8,40,182456,62206,9,74.0,1.87,0.04
Mexico,129166028,1943950,2.1,29,-60000,1357224,66,84.0,1.65,1.06
Japan,126407422,364555,1.4,48,71560,-383840,347,92.0,1.62,-0.3
Ethiopia,115434444,1000000,4.3,19,30000,2884858,115,21.0,1.47,2.57
Philippines,109830324,298170,2.6,26,-67152,1464463,368,47.0,1.41,1.35
Egypt,102659126,995450,3.3,25,-38033,1946331,103,43.0,1.31,1.94
Vietnam,97490013,310070,2.1,32,-80000,876473,314,38.0,1.25,0.91
DR Congo,90003954,2267050,6.0,17,23861,2770836,40,46.0,1.15,3.19
Turkey,84495243,769630,2.1,32,283922,909452,110,76.0,1.08,1.09
Iran,84176929,1628550,2.2,32,-55000,1079043,52,76.0,1.08,1.3
Germany,83830972,348560,1.6,46,543822,266897,240,76.0,1.07,0.32
Thailand,69830779,510890,1.5,40,19444,174396,137,51.0,0.9,0.25
United Kingdom,67948282,241930,1.8,40,260650,355839,281,83.0,0.87,0.53
France,65298930,547557,1.9,42,36527,143783,119,82.0,0.84,0.22
Italy,60446035,294140,1.3,47,148943,-88249,206,69.0,0.78,-0.15
Thailand,60012400,885800,4.9,18,-40076,1728755,67,37.0,0.77,2.98
South Africa,59436725,1213090,2.4,28,145405,750420,49,67.0,0.76,1.28
South Korea,51276977,97230,1.1,44,11731,43877,527,82.0,0.66,0.09
Colombia,50976248,1109500,1.8,31,204796,543448,46,80.0,0.65,1.08
Spain,46757980,498800,1.3,45,40000,18002,94,80.0,0.6,0.04
Uganda,145974931,199810,5.0,17,168694,1471413,229,26.0,0.59,3.32
Argentina,45267449,2736690,2.3,32,4800,415097,17,93.0,0.58,0.93
Algeria,43984569,2381740,3.1,29,-10000,797990,18,73.0,0.56,1.85
Sudan,44019263,1765048,4.4,20,-50000,1036022,25,35.0,0.56,2.42
Ukraine,43686577,579320,1.4,41,10000,-259876,75,69.0,0.56,-0.59
Iraq,40372771,434320,3.7,21,7834,912710,93,73.0,0.52,2.32
Afghanistan,39074280,652860,4.6,18,-62920,886592,60,25.0,0.5,2.33
Poland,37839255,306230,1.4,42,-29395,-41157,124,60.0,0.49,-0.11
Canada,37799407,9093510,1.5,41,242032,331107,4,81.0,0.48,0.89
Morocco,36985624,446300,2.4,30,-51419,438791,83,64.0,0.47,1.2
Saudi Arabia,34905942,2149690,2.3,32,134979,545343,16,84.0,0.45,1.59
Uzbekistan,33551824,425400,2.4,28,-8863,487487,79,50.0,0.43,1.48
Peru,33050211,1280000,2.3,31,99069,461401,26,79.0,0.42,1.42
Angola,33032075,1246700,5.6,17,6413,1040977,26,67.0,0.42,3.27
Malaysia,32436963,328550,2.0,30,50000,416222,99,78.0,0.42,1.3
Mozambique,31398811,786380,4.9,18,-5000,889399,40,38.0,0.4,2.93
Ghana,31181428,227540,3.9,22,-10000,655084,137,57.0,0.4,2.15
Yemen,29935468,527970,3.8,20,-30000,664042,56,38.0,0.38,2.28
Nepal,29225196,143350,1.9,25,41710,528098,203,21.0,0.37,1.85
Venezuela,28421581,882050,2.3,30,-653249,-79889,32,NULL,0.36,-0.28
Madagascar,27808395,581795,4.1,20,-1500,721711,48,39.0,0.36,2.68
Cameroon,26655083,472710,4.6,19,-4800,669483,56,56.0,0.34,2.59
Côte d'Ivoire,26486282,318000,4.7,19,-8000,661730,83,51.0,0.34,2.57
North Korea,25798588,120410,1.9,35,-5403,112655,214,63.0,0.33,0.44
Australia,25550683,7682300,1.8,38,158246,296686,3,86.0,0.33,1.18
Niger,24346468,1266700,7.0,15,4000,895929,19,17.0,0.31,3.84
Taiwan,23824369,35410,1.2,42,30001,42899,673,79.0,0.31,0.18
Sri Lanka,121428970,62710,2.2,34,-97986,89516,341,18.0,0.27,0.42
Burkina Faso,20997293,273600,5.2,18,-25000,581895,76,31.0,0.27,2.86
Mali,20346106,1220190,5.9,16,-40000,592802,17,44.0,0.26,3.02
Romania,119214608,230170,1.6,43,-73999,-126866,84,55.0,0.25,-0.66
Malawi,19211425,94280,4.3,18,-16053,501205,203,18.0,0.25,2.69
Chile,19144605,743532,1.7,35,111708,164163,26,85.0,0.25,0.87
Kazakhstan,18815231,2699700,2.8,31,-18000,225280,7,58.0,0.24,1.21
